Month-to-month,Electronic check,1850,994,53.7297297297297
Month-to-month,Bank transfer (automatic),589,201,34.125636672326
Month-to-month,Credit card (automatic),543,178,32.780847145488
Month-to-month,Mailed check,893,282,31.5789473684211
One year,Electronic check,347,64,18.4438040345821
One year,Credit card (automatic),398,41,10.3015075376884
One year,Bank transfer (automatic),391,38,9.71867007672634
Two year,Electronic check,168,13,7.73809523809524
One year,Mailed check,337,23,6.82492581602374
Two year,Bank transfer (automatic),564,19,3.36879432624113
Two year,Credit card (automatic),581,13,2.23752151462995
Two year,Mailed check,382,3,0.785340314136126
